frame,beacon_id,pixel_x,pixel_y
1,b6,566,439
1,b7,460,319
2,b6,640,382
2,b7,494,341
3,b7,536,342
3,b6,683,297
4,b7,575,324
4,b6,685,207
5,b7,576,368
5,b6,680,238
6,b7,574,424
6,b6,680,293




