frame,beacon_id,pixel_x,pixel_y
1,b5,473,185
1,b6,336,162
2,b5,476,258
2,b6,340,238
3,b5,469,326
3,b6,336,306
4,b5,503,339
4,b6,378,389
5,b5,546,341
5,b6,459,436
6,b5,591,312
6,b6,565,431
7,b5,613,266
7,b6,646,373
8,b5,609,215
8,b6,688,283
9,b5,590,173
9,b6,691,186
10,b5,586,223
10,b6,689,220
11,b5,578,289
11,b6,682,284
12,b5,580,357
12,b6,683,345
13,b5,576,408
13,b6,677,391
