frame,beacon_id,pixel_x,pixel_y
1,b5,464,177
1,b7,457,46
2,b5,471,256
2,b7,465,117
3,b5,467,320
3,b7,461,180
4,b5,529,331
4,b7,421,256
5,b5,545,349
5,b7,440,272
6,b7,460,319
6,b5,589,320
7,b7,494,341
7,b5,607,276
8,b7,536,342
8,b5,605,228
